验证模块,验证内容,实际定义(系统要求),验证逻辑(SQL/规则),API验证 (cURL & JQ),中文说明
7. 治理合理性-利用率,僵尸计算指标,已定义的计算指标 (Measure) 在所有视图中均未被引用，属于无效的计算逻辑开发。【注意：统计采用去重口径 (name+formula_hash)，去重后约774个逻辑实体】,COUNT(DISTINCT name || formula_hash) WHERE role='MEASURE' AND NOT IN field_to_view,无 (API仅统计All Orphan),发现未被使用的僵尸计算指标(去重后逻辑实体)
7. 治理合理性-利用率,僵尸计算维度,已定义的计算维度 (Dimension) 在所有视图中均未被引用，属于闲置中间变量。【注意：统计采用去重口径 (name+formula_hash)，去重后约374个逻辑实体】,COUNT(DISTINCT name || formula_hash) WHERE role='DIMENSION' AND NOT IN field_to_view,无 (API仅统计All Orphan),发现未被使用的僵尸计算维度(去重后逻辑实体)
7. 治理合理性-利用率,冗余物理列,物理列存在于数据源中但完全未被使用，徒增提取与存储成本。【注意：统计采用去重口径 (name)，去重后约2769个逻辑实体】,COUNT(DISTINCT name) WHERE is_calculated=0 AND NOT IN field_to_view,无 (API仅统计All Orphan),发现未被使用的物理冗余列(去重后逻辑实体)
7. 治理合理性-利用率,僵尸数据源,已发布数据源长期未被连接，属于完全闲置的服务器资产。,is_embedded=0 AND NOT EXISTS datasource_to_workbook,无 (API未暴露),发现完全未被引用的僵尸数据源
7. 治理合理性-冗余度,逻辑重复定义,多个字段使用完全相同的计算公式，造成逻辑冗余和维护困难。,GROUP BY formula HAVING count > 1,curl -s http://localhost:8101/api/dashboard/analysis | jq '.duplicate_formulas_top',发现逻辑完全重复的冗余字段
7. 治理合理性-冗余度,字段名歧义冲突,不同字段使用相同名称但公式不同，导致极其严重的语义混淆风险。,GROUP BY name HAVING COUNT(DISTINCT formula) > 1,无 (API未暴露),发现同名不同义的风险字段
7. 治理合理性-有效性,空容器工作簿,工作簿内不包含任何视图，通常是空文件或误操作残留。,NOT EXISTS (SELECT 1 FROM views ...),无 (API未暴露),发现无视图的无效工作簿
7. 治理合理性-有效性,空容器仪表板,仪表板内未放置任何工作表，通常是解析错误或未完成的草稿。,NOT EXISTS dashboard_to_sheet,无 (API未暴露),发现无内容是无效仪表板
7. 治理合理性-规范性,非认证数据源,数据源未获得官方认证 (is_certified=0)，可能存在数据质量风险。,is_embedded=0 AND is_certified=0,curl -s http://localhost:8101/api/dashboard/analysis | jq '.quality_metrics.datasource_coverage.certified',发现未经过认证的数据源
7. 治理合理性-规范性,资产描述缺失,核心资产 (表/字段) 缺少业务描述，严重影响用户理解和自助使用。,description IS NULL,curl -s http://localhost:8101/api/dashboard/analysis | jq '.issues.missing_description',发现缺少描述的核心资产
7. 治理合理性-规范性,低价值重命名,计算字段过于简单 (Score<=1)，仅做重命名或类型转换，掩盖了真实逻辑。,complexity_score <= 1,curl -s http://localhost:8101/api/dashboard/analysis | jq '.complexity_distribution.low',发现低价值的简单计算字段
7. 治理合理性-规范性,无主资产,工作簿缺少 owner 信息，导致治理责任主体缺失。,owner IS NULL,无 (API未暴露),发现权责不明的无主资产
8. 统计准确性,全局计数不一致,API 返回的资产总数与数据库实时 Count 不一致，表明前端展示存在误差或缓存延迟。,SELECT COUNT(*) FROM table vs API,curl -s http://localhost:8101/api/stats,发现前后端资产计数不一致
8. 统计准确性,字段来源归类错误,API 统计的"字段来源"分类总和不等于字段总数，表明分类逻辑存在漏洞或数据丢失。,GROUP BY source_type,curl -s http://localhost:8101/api/dashboard/analysis | jq '.field_source_distribution',发现字段来源统计逻辑错误
8. 统计准确性,质量分计算偏差,健康度/完整性评分与底层数据实时状态不符，表明评分算法存在误差。,CASE WHEN ... THEN 1,curl -s http://localhost:8101/api/dashboard/analysis | jq '.quality_metrics',发现质量评分计算不准确
8. 统计准确性,治理看板计数偏差,治理页面展示的问题数 (如过期DS) 与 SQL 核查结果不一致，误导治理决策。,WHERE condition_matches_api_logic,curl -s http://localhost:8101/api/dashboard/analysis | jq '.issues',发现治理问题计数不准确
